3 300
81 43 36
12 15 30
 6 89 38
 8 82 24
16 84 93
17 63 58
39 26 34
23  6 97
 8 53 93
88 19 79
48 52 75
84 64 90
66 22 32
56 30 66
32 98  2
25 67 65
36  6 91
70 81 49
20 89 54
13 78 73
44 78 25
71 15 89
14 81 12
98 38 94
16 22 93
18 48 60
35 36 19
27 58  0
28 78 90
83 91 20
56 88 98
34 59 13
23 25 47
87 23 85
34 39 59
27  9  7
39 45 95
58 24 54
59 52 32
49 87 76
69 96 64
19 30 75
33  5 53
80 45 28
17 79 20
76 58 29
36 97 74
31 56 98
37 67  3
70 68 42
46 89 90
62  8 72
89 93 78
42 73 75
71 42  6
91 19 64
72  7 13
47 90 21
97 28 88
52 50  8
95 96 97
37 10  6
10 51 99
40 94 25
15 17 67
73 60 38
89 84 97
 2 31 88
76 81 68
16 85 18
25 32 66
22 70 28
80 80 79
32 20 25
57 87 94
76 60 54
67 49 91
64  3 74
52 79 55
72 96 41
90 73 25
56 95 95
36 28 75
16 12 47
41 21 34
36 97 46
42 64 47
33 81 51
 8 33 30
15 58 78
 8 48 51
34 57 99
81 93 79
 9 61 91
56  3 12
43 91 61
89 85 78
37 19 59
40 79 44
22 46  2
53  7 51
 4 41 60
55 74  5
86 83 67
29 40 70
41 35 13
55 76 98
33 65 69
92  5 48
88 28 47
91 81 54
94 37 47
54 45 21
11 83  5
78 13 45
 0  6 32
13 61  8
12 46 74
81 90 79
82 79 59
29 22 92
35 16 82
82 22 27
55 33 10
60 12 75
57 64 82
89 78 43
98 42 42
72 75 32
 3  9 63
63 90 85
 7 25  1
89 59 23
68 15  9
79 75 73
54 33 37
88 74 15
84 72  9
26 96 85
58 52 46
74 67 37
59 74 62
61 64 22
36 32 89
45 63 64
18 70 49
56 58 24
23 42 48
85 20 97
22 31 49
68  5 16
 5 64 42
20 77  6
94 14 91
83 11  6
99 30 76
49 38 87
25 13 81
25 50  2
22 72 33
23 41 38
91 98  2
34 18 80
40 12 46
83 47 57
90 47 39
18 48 29
 5 25 95
87 50 45
41 25 18
74 48 11
12 40  9
66 74 80
98 66 92
96  2 92
54 92 39
45 10 39
75 68 64
70  7 14
15 48 91
33 22 92
96 86 32
 6  4 58
86 55 76
30 51 78
22 57 22
13  3 85
 4 78 53
68  0 12
35 67 60
26 53 34
18 49 72
 2 55 28
60 93 83
89 24 87
67 98 44
42 64 47
27 68 77
32 37 29
44 24 97
56 50 50
90 21 99
14 23  7
42 36  0
78 25 76
65 44 75
61 86 91
61 65 11
90 97 48
20 93 24
17 49 75
67 91 48
18  5 71
25  0 59
26 78 36
 2 95 81
29 56 19
72 69 37
84 60 34
84 80 28
 9 97 29
36 16 21
84 34 26
55 12 26
67 38 56
 3 92 51
36 74 60
56 98 29
45 82 89
31 19 69
11 28 18
41 16 86
62  0 21
88  7 33
67 74 23
23 30 67
27 66 93
87 74 92
68 19 26
58 51 45
79 62 25
50  3 41
36 17 93
57 58 53
42 25 79
17  0  9
85 79 76
30 66 50
22 87 22
49 97 73
46 76 87
72 26 43
65 63 60
59 72 18
12 67 95
91 84 48
53 21 27
29 52 46
31 26 33
53 75 30
78 22 58
66 46 37
 9 11 52
21 22 24
92 34 43
39 78 80
87 31  1
15 12  5
13 43 32
98 49 59
80 27 33
38 45 79
75 54 43
79 28 65
56 20 52
99 11 82
79 99 65
33 66 77
90 79 72
74 29 21
34  9  1
19 47 46
51 75 53
94 54 81
59 10 53
63 62 64
45 41 63
10 26 81
39 17 12
12 91 41
85 77 50
86 97 50
33  0 25
86 94 31
67  5 94
72 69  8
36 66  1
52 77 28
85 16 97
98 80 88
